created_at,user_id,topic_id,stemmed_message
2023-10-24,1,0,cerita rasa tugas dimensi pesimis tugas sanggup menang sadar tugas mudah matkul per tokopedia
2023-10-24,2,1,senang ajar materi 3d materi tarik manfaat suka ajar objek 3d bentuk dasar objek kompleks suka ajar teknik manipulasi objek 3d suka materi kompleks butuh ajar materi terkadang teoritis praktikal baik harap materi kemas sistematis mudah paham harap materi fokus praktikum mahasiswa langsung terap teori ajar alam asistensi proses asistensi validasi jalan asisten praktikum bantu sabar
2023-10-24,2,0,senang ajar materi 3d materi tarik manfaat suka ajar objek 3d bentuk dasar objek kompleks suka ajar teknik manipulasi objek 3d suka materi kompleks butuh ajar materi terkadang teoritis praktikal baik harap materi kemas sistematis mudah paham harap materi fokus praktikum mahasiswa langsung terap teori ajar proses asistensi validasi jalan asisten praktikum bantu sabar
2023-10-24,3,0,ajar materi seru awal susah basic web damping bab kes tarik struktur
2023-10-24,4,1,pusing ajar blender ya allah bismillah lancar selesai suka ajar mgv benarbenar bawa ubah suka mencaricari asistem praktek terkadang sulit hubung ajar benarbenar otodidak aplikasi asing toolsnya alam tambah ilmu jurus tau
2023-10-24,5,0,alam projekprojek mata kuliah inovasi media grafis visual projek2 nya penuh tekateki tantang suka nya latih gerak cepat memdesain suka milik basic desain alami sulit teman milik basic desain
2023-10-24,6,0,suka materi ilmu desain 3d kuranhg suka butuh device mumpuni asdos bantu mahasiswa paham judul
2023-10-24,5,1,alam projek 3 dimensi suka suka banyak suka buat aplikasi blender ya suruh projek 3 dimensi alam pasti lupa kepanikan2 nya
2023-10-24,7,0,ajar materi bingung darimana basic desain 3d ajar step by step hasil sesuai mampu bisa hehe
2023-10-24,7,1,alhamdulillah aju judul langsung ac ya tuhan tau ku segimana syukur apa hasil proses maksimal
2023-10-24,8,0,salah mata kuliah favorit dalam ajar seru monotontidak membosankandi ajar lecturer tuntut mahasiswa ikut beliaunamun bebas mahasiswa kreatif milik mahasiswa disiplin atur membangn semangat mahasiswa sedia bintng bab i love mgv
2023-10-24,10,0,expect ngejain 3d but seru banget ajar walopun kayak rollercoaster semangat ya mentemen makas bantu hehehe
2023-10-24,9,0,alam materi senang tantang asah ilmu ajar smk ulik software nya ajar sekolah tengah juru alam asistensi validasi rasa tugas proyek tantang hadap dosen asisten dosen asisten praktek tata nya sopan hasil proyek tele tele gerogi demonstrasi
2023-10-24,11,0,kali cerita alam ajar mgv materi mgv unggul asal smk menang start banding teman asistensi asprak demonstrasi produk langsung dosen awwalnya kaget harus lapor biasa aplikasi word ajar teman selesai tugas mgv milik kendala asistensi teman keluh asisten sensitif kes susah ajak kompromi tugas selesai haya alam cerita
