,Topic,Word,P
0,0,proses_asistensi,0.020421715
1,0,rendering,0.014131523
2,0,proses,0.013992072
3,0,coloring_texturing,0.013814343
4,0,pengalaman,0.010291386
5,0,asprak,0.009956456
6,0,cepat,0.009835378
7,0,mudah,0.009834043
8,0,menyenangkan,0.009517061
9,0,bab_5,0.00947804
10,1,bab_2,0.017903253
11,1,mempelajari_materi,0.01670309
12,1,ya_allah,0.011560732
13,1,mudah_dipahami,0.0113057885
14,1,bab_8,0.01091621
15,1,sabar,0.009998653
16,1,lumayan_mudah,0.009882293
17,1,sih,0.009106736
18,1,lumayan,0.009056612
19,1,mempelajari,0.00904142
20,2,terima_kasih,0.016857011
21,2,produk,0.013520483
22,2,mempelajari_materi,0.012150312
23,2,lumayan_mudah,0.010906853
24,2,belajar,0.010663905
25,2,mudah,0.010398087
26,2,teman_teman,0.01015372
27,2,semangat,0.009606786
28,2,laptop_kuat,0.009454705
29,2,seru,0.009276544
30,3,aplikasi_blender,0.014435035
31,3,alhamdulillah,0.010841608
32,3,blender,0.010771318
33,3,asprak,0.01046668
34,3,tugas_imgv,0.009073317
35,3,susah,0.008977514
36,3,materi,0.008548723
37,3,tugas,0.0085145105
38,3,bab_1,0.008138768
39,3,3d,0.008085204
